year,month,day,time,latitude,longitude,wind_dir,wind_speed,gust,pressure,pressure_tendency,air_temp,water_temp,dew_point,wave_height,wave_period
2026,3,15,1400,37.24,126.02,320,5.0,MM,MM,MM,4.3,5.4,MM,0.5,0
2026,3,15,1300,37.24,126.02,310,7.0,MM,MM,MM,4.3,5.5,MM,0.5,0
2026,3,15,1200,37.24,126.02,310,7.0,MM,MM,MM,4.2,5.5,MM,0.5,0
2026,3,15,1100,37.24,126.02,310,6.0,MM,MM,MM,4.5,5.4,MM,0.5,0
2026,3,15,1000,37.24,126.02,300,5.0,MM,MM,MM,4.8,5.4,MM,0.0,0
2026,3,15,900,37.24,126.02,290,5.0,MM,MM,MM,5.0,5.4,MM,0.0,0
2026,3,15,800,37.24,126.02,270,3.0,MM,MM,MM,5.1,5.4,MM,0.0,0
2026,3,15,700,37.24,126.02,290,3.0,MM,MM,MM,4.9,5.4,MM,0.0,0
2026,3,15,600,37.24,126.02,300,4.0,MM,MM,MM,4.8,5.5,MM,0.0,0
2026,3,15,500,37.24,126.02,290,3.0,MM,MM,MM,4.7,5.4,MM,0.0,0
2026,3,15,400,37.24,126.02,290,3.0,MM,MM,MM,4.7,5.5,MM,0.0,0
2026,3,15,300,37.24,126.02,290,2.0,MM,MM,MM,4.7,5.5,MM,0.0,0
2026,3,15,200,37.24,126.02,290,2.0,MM,MM,MM,4.6,5.5,MM,0.0,0
2026,3,15,100,37.24,126.02,200,1.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,15,0,37.24,126.02,210,0.0,MM,MM,MM,4.6,5.3,MM,0.0,0
2026,3,14,2300,37.24,126.02,110,1.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,14,2200,37.24,126.02,340,2.0,MM,MM,MM,4.4,5.2,MM,0.0,0
2026,3,14,2100,37.24,126.02,330,1.0,MM,MM,MM,4.4,5.3,MM,0.0,0
2026,3,14,2000,37.24,126.02,270,1.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,14,1900,37.24,126.02,280,2.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,14,1800,37.24,126.02,250,3.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,14,1700,37.24,126.02,260,2.0,MM,MM,MM,4.7,5.3,MM,0.0,0
2026,3,14,1600,37.24,126.02,280,2.0,MM,MM,MM,4.9,5.3,MM,0.0,0
2026,3,14,1500,37.24,126.02,320,1.0,MM,MM,MM,4.9,5.2,MM,0.0,0
2026,3,14,1400,37.24,126.02,270,2.0,MM,MM,MM,4.7,5.3,MM,0.0,0
2026,3,14,1300,37.24,126.02,260,2.0,MM,MM,MM,4.7,5.2,MM,0.0,0
2026,3,14,1200,37.24,126.02,290,1.0,MM,MM,MM,4.9,5.2,MM,0.0,0
2026,3,14,1100,37.24,126.02,270,2.0,MM,MM,MM,4.9,5.3,MM,0.0,0
2026,3,14,1000,37.24,126.02,250,2.0,MM,MM,MM,4.9,5.3,MM,0.0,0
2026,3,14,900,37.24,126.02,280,1.0,MM,MM,MM,4.9,5.2,MM,0.0,0
2026,3,14,800,37.24,126.02,270,2.0,MM,MM,MM,5.2,5.5,MM,0.0,0
2026,3,14,700,37.24,126.02,270,3.0,MM,MM,MM,5.2,5.9,MM,0.0,0
2026,3,14,600,37.24,126.02,260,2.0,MM,MM,MM,5.4,6.1,MM,0.0,0
2026,3,14,500,37.24,126.02,270,2.0,MM,MM,MM,5.3,5.6,MM,0.0,0
2026,3,14,400,37.24,126.02,240,2.0,MM,MM,MM,5.2,5.8,MM,0.0,0
2026,3,14,300,37.24,126.02,240,2.0,MM,MM,MM,4.8,5.6,MM,0.0,0
2026,3,14,200,37.24,126.02,180,1.0,MM,MM,MM,4.9,5.5,MM,0.0,0
2026,3,14,100,37.24,126.02,190,2.0,MM,MM,MM,4.7,5.4,MM,0.0,0
2026,3,14,0,37.24,126.02,170,2.0,MM,MM,MM,4.7,5.2,MM,0.0,0
2026,3,13,2300,37.24,126.02,160,1.0,MM,MM,MM,4.7,5.1,MM,0.0,0
2026,3,13,2200,37.24,126.02,MM,0.0,MM,MM,MM,4.7,5.1,MM,0.0,0
2026,3,13,2100,37.24,126.02,130,0.0,MM,MM,MM,4.2,5.2,MM,0.0,0
2026,3,13,2000,37.24,126.02,300,0.0,MM,MM,MM,4.2,5.2,MM,0.0,0
2026,3,13,1900,37.24,126.02,MM,0.0,MM,MM,MM,4.2,5.2,MM,0.0,0
2026,3,13,1800,37.24,126.02,210,0.0,MM,MM,MM,4.6,5.2,MM,0.0,0
2026,3,13,1700,37.24,126.02,330,0.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,13,1600,37.24,126.02,330,0.0,MM,MM,MM,4.4,5.2,MM,0.0,0
2026,3,13,1500,37.24,126.02,80,1.0,MM,MM,MM,4.4,5.2,MM,0.0,0
2026,3,13,1400,37.24,126.02,100,1.0,MM,MM,MM,4.6,5.2,MM,0.0,0
2026,3,13,1300,37.24,126.02,280,0.0,MM,MM,MM,4.4,5.2,MM,0.0,0
2026,3,13,1200,37.24,126.02,300,0.0,MM,MM,MM,4.7,5.2,MM,0.0,0
2026,3,13,1100,37.24,126.02,340,2.0,MM,MM,MM,4.9,5.3,MM,0.0,0
2026,3,13,1000,37.24,126.02,350,4.0,MM,MM,MM,5.0,5.6,MM,0.0,0
2026,3,13,900,37.24,126.02,340,3.0,MM,MM,MM,5.0,5.9,MM,0.0,0
2026,3,13,800,37.24,126.02,330,2.0,MM,MM,MM,5.3,6.0,MM,0.0,0
2026,3,13,700,37.24,126.02,340,3.0,MM,MM,MM,5.2,5.7,MM,0.0,0
2026,3,13,600,37.24,126.02,350,4.0,MM,MM,MM,5.1,5.7,MM,0.0,0
2026,3,13,500,37.24,126.02,360,2.0,MM,MM,MM,5.2,5.9,MM,0.0,0
2026,3,13,400,37.24,126.02,60,1.0,MM,MM,MM,5.8,5.6,MM,0.0,0
2026,3,13,300,37.24,126.02,90,1.0,MM,MM,MM,5.8,5.4,MM,0.0,0
2026,3,13,200,37.24,126.02,90,4.0,MM,MM,MM,5.3,5.2,MM,0.0,0
2026,3,13,100,37.24,126.02,100,6.0,MM,MM,MM,5.4,5.2,MM,0.0,0
2026,3,13,0,37.24,126.02,90,4.0,MM,MM,MM,4.9,5.1,MM,0.0,0
2026,3,12,2300,37.24,126.02,70,5.0,MM,MM,MM,4.3,5.1,MM,0.0,0
2026,3,12,2200,37.24,126.02,70,7.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,12,2100,37.24,126.02,80,7.0,MM,MM,MM,4.4,5.1,MM,0.0,0
2026,3,12,2000,37.24,126.02,70,6.0,MM,MM,MM,4.8,5.2,MM,0.0,0
2026,3,12,1900,37.24,126.02,70,5.0,MM,MM,MM,5.3,5.1,MM,0.0,0
2026,3,12,1800,37.24,126.02,80,5.0,MM,MM,MM,5.4,5.1,MM,0.0,0
2026,3,12,1700,37.24,126.02,90,7.0,MM,MM,MM,5.3,5.1,MM,0.5,0
2026,3,12,1600,37.24,126.02,80,7.0,MM,MM,MM,5.3,5.1,MM,0.5,0
2026,3,12,1500,37.24,126.02,70,6.0,MM,MM,MM,5.6,5.2,MM,0.0,0
2026,3,12,1400,37.24,126.02,60,5.0,MM,MM,MM,6.1,5.2,MM,0.0,0
2026,3,12,1300,37.24,126.02,30,4.0,MM,MM,MM,4.9,5.2,MM,0.0,0
2026,3,12,1200,37.24,126.02,0,2.0,MM,MM,MM,4.8,5.2,MM,0.0,0
2026,3,12,1100,37.24,126.02,320,5.0,MM,MM,MM,5.0,5.2,MM,0.0,0
2026,3,12,1000,37.24,126.02,320,6.0,MM,MM,MM,5.0,5.1,MM,0.0,0
2026,3,12,900,37.24,126.02,320,5.0,MM,MM,MM,5.2,5.2,MM,0.0,0
2026,3,12,800,37.24,126.02,310,6.0,MM,MM,MM,4.9,5.4,MM,0.0,0
2026,3,12,700,37.24,126.02,320,4.0,MM,MM,MM,4.9,5.3,MM,0.0,0
2026,3,12,600,37.24,126.02,320,4.0,MM,MM,MM,4.6,5.3,MM,0.0,0
2026,3,12,500,37.24,126.02,340,4.0,MM,MM,MM,4.4,5.5,MM,0.0,0
2026,3,12,400,37.24,126.02,350,3.0,MM,MM,MM,4.2,5.6,MM,0.0,0
2026,3,12,300,37.24,126.02,0,3.0,MM,MM,MM,4.0,5.4,MM,0.0,0
2026,3,12,200,37.24,126.02,30,4.0,MM,MM,MM,3.9,5.2,MM,0.0,0
2026,3,12,100,37.24,126.02,50,5.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,12,0,37.24,126.02,30,4.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,11,2300,37.24,126.02,30,5.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,11,2200,37.24,126.02,20,3.0,MM,MM,MM,3.7,5.1,MM,0.0,0
2026,3,11,2100,37.24,126.02,20,4.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,11,2000,37.24,126.02,10,5.0,MM,MM,MM,3.9,5.1,MM,0.0,0
2026,3,11,1900,37.24,126.02,360,5.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1800,37.24,126.02,330,4.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1700,37.24,126.02,330,3.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,1600,37.24,126.02,330,4.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,11,1500,37.24,126.02,320,4.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,1400,37.24,126.02,290,3.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1300,37.24,126.02,320,3.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1200,37.24,126.02,310,2.0,MM,MM,MM,3.9,5.1,MM,0.0,0
2026,3,11,1100,37.24,126.02,340,2.0,MM,MM,MM,4.0,5.1,MM,0.0,0
2026,3,11,1000,37.24,126.02,300,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,900,37.24,126.02,310,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,800,37.24,126.02,330,2.0,MM,MM,MM,4.1,5.2,MM,0.0,0
2026,3,11,700,37.24,126.02,330,3.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,11,600,37.24,126.02,350,2.0,MM,MM,MM,4.1,5.1,MM,0.0,0
2026,3,11,500,37.24,126.02,330,2.0,MM,MM,MM,4.2,5.1,MM,0.0,0
2026,3,11,400,37.24,126.02,250,0.0,MM,MM,MM,6.3,5.2,MM,0.0,0
2026,3,11,300,37.24,126.02,160,1.0,MM,MM,MM,4.5,5.3,MM,0.0,0
2026,3,11,200,37.24,126.02,140,2.0,MM,MM,MM,3.8,5.2,MM,0.0,0
2026,3,11,100,37.24,126.02,120,3.0,MM,MM,MM,3.8,5.1,MM,0.0,0
2026,3,11,0,37.24,126.02,160,2.0,MM,MM,MM,3.6,5.1,MM,0.0,0
2026,3,10,2300,37.24,126.02,170,3.0,MM,MM,MM,3.5,5.0,MM,0.0,0
2026,3,10,2200,37.24,126.02,180,2.0,MM,MM,MM,3.4,5.0,MM,0.0,0
2026,3,10,2100,37.24,126.02,140,2.0,MM,MM,MM,3.3,5.0,MM,0.0,0
